,source_url,test_name,grade,Logical Fallacy Types,sentence
0,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It changes the argument to something else. ,"Q. Why is this a logical fallacy: 
""Senator Jones says that we should not fund the attack submarine program. I disagree entirely. I can't understand why he wants to leave us defenseless like that."""
1,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It says A is true and B is true so A+B must be true.,"Q. Why is this a logical fallacy? ""All elephants are big. Some boys are big. Therefore some boys are elephants."""
2,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It leads to something that probably won't happen.,"Q. Why is this a logical fallacy? ""You can never give anyone a break. If you do, they'll walk all over you."""
3,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It says Taylor Swift is an expert on soda when she's a singer.,Q. Why is this a logical fallacy?
4,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It takes you away from the true argument.,"Q. Why is this a logical fallacy? “Sure, we haven’t given raises in over five years to our employees. You know, we work really hard to make a good product. We try to ensure the best customer service, too.”"
5,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It attacks the person. ,"Q. Why is this a logical fallacy?
""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?"""
6,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It tells you to like something because a lot of people do.,"Q. Why is this a logical fallacy?
""Everyone should like coffee: 95% of teachers do!"""
7,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It stereotypes.,"Q. Why is this a logical fallacy? ""Annie must like Starbucks because all white girls like Starbucks."""
8,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,It is a superstition. ,"Q. Why is this a logical fallacy? ""If a black cat crosses your path you will have bad luck."" "
9,https://quizizz.com/admin/quiz/5898a07a43acf0732ff90297/logical-fallacies,Logical Fallacies,6th - 12th grade,Only gives two choices when there are many.,Q.
10,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,circular logic,"Q. America is the best place to live, because it's better than any other country."
11,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,circular logic,Q. The red bicycle is red.
12,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,moral equivalence,"Q. ""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses."
13,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,moral equivalence,Q. Trans fats are as bad as biological weapons.
14,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,moral equivalence,Q. Because doctors smoke it must be a healthy choice.
15,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,red herring,Q. There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!
16,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,red herring,"Q. Mother: It’s bedtime Jane Jane: Mom, how do ants feed their babies? Mother: Don’t know dear, close your eyes now. Jane: But mama, do ant babies cry when they’re hungry?"
17,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,non sequitur,Q. We should stop using hairspray because it is snowing in New York.
18,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,straw man,Q. Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming.
19,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,hasty generalization,"Q. It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating."
20,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,slippery slope,"Q. If we use just one more can of hairspray this month, earth as we know it will no longer exist."
21,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,red herring,"Q. In order to really look at the problem of global warming, we must first consider how the homeless suffer when it is cold."
22,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,either/or (black/white) (binary),Q. We either ban hairspray or the world will end.
23,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,ad hominem,Q. We cannot listen to John’s opinion on global warming because he is a tree hugger.
24,https://quizizz.com/admin/quiz/5e4467e5780e83001b097e59/logical-fallacies,Logical Fallacies,11th grade,circular reasoning,Q. The news is fake because so much of the news is fake.
25,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,it may or may not be true but it has to be something that can be tested or verified.,"Q. When something is written as a fact, it means"
26,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,writing something so that it portrays someone or something in a positive or negative way.,Q. Bias is 
27,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,a view or judgement about something,Q. An opinion is 
28,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,"is an attack on the person, not the argument ",Q. An ad hominem attack
29,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,The Bandwagon Fallacy,"Q. the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true.""  represents which fallacy?"
30,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,The Argument from Authority Fallacy,"Q. You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy? "
31,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,Argument from Ignorance,"Q. Your friend says, ""You can't prove that space aliens don't exist, so they must be real"". This is an example of which logical fallacy?"
32,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,The Slippery Slope Fallacy,Q.  Teacher: If I let you go to the bathroom pretty soon everybody will want to go to the bathroom. This is an example of 
33,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,Two Wrongs make a Right Fallacy,"Q. Yes, I threw a rock through the window, but Joey did it first.
This is an example of _________"
34,https://quizizz.com/admin/quiz/58beb7ff981d974d1869980d/logical-fallacies,Logical Fallacies,6th - University grade,An Ad Hominem Attack,"Q. ""I can't trust that doctor's advice on how to raise my child. He has never been a mother.
This is an example of "
35,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Bandwagon,Q. I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one and I want her to fit in with the other kids.
36,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Straw Man,"Q. Charlie: I think we should put more money into schools. Quality public education is so important.

Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists."
37,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Ad Hominem,"Q. My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him."
38,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Ad Hominem,"Q. Oh, please. What would you know about labor laws? You don’t even have a job."
39,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Slippery Slope,"Q. If I don’t take this A.P. class, then I won’t do well on the exam. If I don’t do well on the A.P. exam, then I can’t get into a good college. If I can’t get into a good college, then I’ll never get a good job. If I can’t get a good job, then I’m going to have to live in my parents’ basement forever. Guess I’ll sign up for the A.P. class."
40,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,false dichotomy,"Q. You need to go to the party with me, otherwise you’ll just be bored at home."
41,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,Bandwagon Argument,"Q. I know the professor said the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks."
42,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,"is an attack on the person, not the argument ",Q. An ad hominem attack
43,https://quizizz.com/admin/quiz/5c65c0dbb29ce6001b4e406e/logical-fallacies,Logical Fallacies,12th - University,The Slippery Slope Fallacy,Q.  Teacher: If I let you go to the bathroom pretty soon everybody will want to go to the bathroom. This is an example of 
